manzana,mnz_visit_count,mnz_correct_svy_avg,mnz_day_correct_avg,mnz_duration_patrol_avg,n_patrollers_avg
7600110000000018140214,4.0,1.0,1.0,8.75,7.5
7600110000000018140220,4.0,1.0,1.0,18.0,7.25
7600110000000018140222,4.0,1.0,1.0,7.0,6.25
7600110000000018140312,4.0,1.0,0.75,6.75,7.0
7600110000000018140315,4.0,1.0,1.0,8.0,7.75
7600110000000018140321,4.0,1.0,1.0,13.75,6.25
7600110000000018140326,5.0,1.0,0.800000011920929,8.800000190734863,8.25
7600110000000018140329,5.0,1.0,1.0,11.199999809265137,6.400000095367432
7600110000000018140336,4.0,1.0,1.0,6.5,7.5
7600110000000018140344,6.0,1.0,0.8333333134651184,13.333333015441895,8.399999618530273
7600110000000018140401,4.0,1.0,0.75,10.25,7.0
7600110000000018140425,4.0,1.0,1.0,8.0,7.75
7600110000000018140435,6.0,1.0,0.6666666865348816,14.0,7.5
7600110000000018140438,6.0,1.0,0.6666666865348816,13.5,7.75
7600110000000018140441,4.0,1.0,1.0,13.0,6.25
7600110000000018140446,4.0,1.0,0.75,17.0,6.5
7600110000000018140448,5.0,1.0,0.800000011920929,18.0,7.75
7600110000000018140449,4.0,1.0,1.0,26.0,7.75
7600110000000018140456,5.0,1.0,0.800000011920929,8.600000381469727,7.0
7600110000000018140457,3.0,1.0,0.6666666865348816,11.0,7.0
7600110000000018140460,5.0,1.0,0.6000000238418579,4.599999904632568,7.0
7600110000000018140573,3.0,1.0,1.0,10.666666984558105,7.666666507720947
7600110000000018140579,6.0,1.0,0.6666666865348816,19.83333396911621,8.0
7600110000000018140584,5.0,1.0,0.6000000238418579,19.600000381469727,7.666666507720947
7600110000000018140608,5.0,1.0,0.800000011920929,23.600000381469727,7.5
7600110000000018140707,5.0,1.0,0.6000000238418579,10.800000190734863,7.599999904632568
7600110000000018140803,4.0,1.0,0.75,6.75,7.5
7600110000000018140806,4.0,1.0,1.0,15.75,8.0
7600110000000018140816,5.0,1.0,0.6000000238418579,8.800000190734863,8.333333015441895
7600110000000018140821,4.0,1.0,1.0,10.75,7.5
7600110000000018140834,4.0,1.0,0.75,18.0,7.25
7600110000000018140836,4.0,1.0,0.75,11.25,8.25
7600110000000018140840,5.0,1.0,0.800000011920929,3.200000047683716,8.5
7600110000000018140911,5.0,1.0,0.6000000238418579,9.0,6.75
7600110000000018140912,5.0,1.0,0.800000011920929,10.399999618530273,8.0
7600110000000018140918,5.0,1.0,0.800000011920929,13.399999618530273,6.75
7600110000000018140924,2.0,1.0,1.0,2.0,9.0
7600110000000018140925,6.0,1.0,0.8333333134651184,7.5,8.0
