manzana,prior_homicides_num,prior_robberies_num,prior_drugdeal_num,prior_wbearing_num,prior_unw_crime2_num,iweight,number_buildings_sampling,area,bat_min,cai_min,ptr_min,barrio_code,control,treat,spillover
7600110000000020090421,0.0,0.0,0.0,0.0,0.0,1.5120967626571655,7.0,1539.3192138671875,4354.39785199822,3199.07998061109,104.187430714605,28,0.0,0.0,1.0
7600110000000020090422,0.0,0.0,0.0,0.0,0.0,1.3863216638565063,71.0,8924.2275390625,4236.34765706773,3256.12368377828,214.63293573359,28,0.0,0.0,1.0
7600110000000020090423,0.0,0.0,0.0,0.0,0.0,1.38504159450531,44.0,5321.30859375,4284.50119710513,3298.9008054065,80.8626458338857,28,0.0,0.0,1.0
7600110000000020090424,0.0,0.0,0.0,0.0,0.0,1.6574585437774658,7.0,3303.60986328125,4393.65498529989,3150.6164399485,137.218933176424,28,0.0,0.0,1.0
7600110000000020090425,0.0,0.0,0.0,0.0,0.0,1.762632131576538,,1382.6180419921875,4352.92218655962,3260.18690028372,8.06318435720617,28,0.0,0.0,1.0
7600110000000020090426,0.0,0.0,0.0,0.0,0.0,12.0,7.0,3815.53662109375,4431.26705978764,3095.94627493855,189.072320461876,28,0.0,1.0,0.0
7600110000000020090427,0.0,0.0,0.0,0.0,0.0,1.5212981700897217,13.0,2300.85107421875,4361.45013719247,3157.40101850683,167.08921005493,28,0.0,0.0,1.0
7600110000000020090428,0.0,0.0,0.0,0.0,0.0,6.0,26.0,1773.66943359375,4367.50857091452,3105.63962120901,253.567604613061,28,1.0,0.0,0.0
7600110000000020090429,0.0,0.0,0.0,0.0,0.0,1.644736886024475,,656.4288940429688,4321.05997762314,3217.39992535151,125.221180270204,28,0.0,0.0,1.0
7600110000000020090430,0.0,0.0,0.0,0.0,0.0,1.626898169517517,6.0,975.5889892578125,4298.90396646988,3253.5915559986,106.370155408706,28,0.0,0.0,1.0
7600110000000020090431,0.0,0.0,0.0,0.0,0.0,1.8726592063903809,7.0,345.414794921875,4340.28718744996,3287.74361595075,30.88663140359,28,0.0,0.0,1.0
7600110000000020100101,1.0,3.0,0.0,1.0,5.0,12.295082092285156,25.0,4452.533203125,4164.94174514855,3284.50350915592,307.73164697021,28,0.0,1.0,0.0
7600110000000020100102,0.0,0.0,0.0,0.0,0.0,2.857142925262451,5.0,399.568359375,4209.66255954422,3245.79497634667,282.701821456519,28,0.0,0.0,1.0
7600110000000020100103,0.0,0.0,1.0,0.0,1.0,1.7772512435913086,32.0,6549.66845703125,4145.55371017806,3257.52512812309,395.040798982633,28,0.0,0.0,1.0
7600110000000020100104,0.0,0.0,0.0,0.0,0.0,3.184713363647461,,4678.84423828125,4183.58714206842,3186.64435614476,454.73629575286,28,1.0,0.0,0.0
7600110000000020100105,0.0,0.0,0.0,0.0,0.0,3.125,13.0,2557.781494140625,4216.44787764617,3187.30837284758,378.924325037242,28,1.0,0.0,0.0
7600110000000020100107,0.0,2.0,0.0,0.0,2.0,4.731861114501953,42.0,5370.97021484375,4269.53450449962,3125.58021884382,395.704282157335,28,1.0,0.0,0.0
7600110000000020100111,0.0,1.0,0.0,0.0,1.0,2.013422727584839,40.0,6218.63427734375,4297.14387773945,3069.46411431644,463.417411802454,28,0.0,0.0,1.0
7600110000000020100112,0.0,0.0,0.0,1.0,1.0,12.195121765136719,34.0,4866.75,4371.55745020004,3036.36890114825,386.631777355015,28,0.0,1.0,0.0
7600110000000020100115,0.0,0.0,0.0,0.0,0.0,10.563380241394043,24.0,2950.422119140625,4487.90973232853,2909.12830670192,461.611911016538,28,0.0,1.0,0.0
7600110000000020100117,0.0,1.0,0.0,0.0,1.0,2.0188424587249756,36.0,6645.02734375,4376.60843443219,2990.15520032271,480.905330649544,28,0.0,0.0,1.0
7600110000000020100118,0.0,11.0,0.0,0.0,11.0,1.4097744226455688,42.0,7628.849609375,4455.88252010207,2908.69298526372,516.56241192946,28,0.0,0.0,1.0
7600110000000020100120,0.0,0.0,0.0,0.0,0.0,2.1306819915771484,14.0,1634.0108642578125,4247.8012675125,3169.33482481505,349.06801515598,28,1.0,0.0,0.0
7600110000000020100123,0.0,0.0,0.0,0.0,0.0,1.4245014190673828,26.0,5683.8056640625,4246.27697962391,3191.30156111235,308.706091021967,28,0.0,0.0,1.0
7600110000000020100124,0.0,1.0,0.0,1.0,2.0,1.7647058963775635,28.0,2613.629150390625,4327.09027784763,3084.6665437092,366.76598078303,28,0.0,0.0,1.0
7600110000000020100125,0.0,0.0,0.0,0.0,0.0,2.121640682220459,9.0,69.8105697631836,4429.87663908783,2949.67274617003,470.974489552095,28,1.0,0.0,0.0
7600110000000020100126,0.0,0.0,0.0,0.0,0.0,1.6198703050613403,32.0,2978.20751953125,4424.58458825751,2978.01233690605,418.309694799509,28,0.0,0.0,1.0
7600110000000020100201,0.0,0.0,0.0,0.0,0.0,1.4836794137954712,23.0,7153.72509765625,4569.15154554153,2781.55385140941,608.45447848448,28,0.0,0.0,1.0
7600110000000020100202,0.0,0.0,0.0,0.0,0.0,2.7985074520111084,3.0,332.7238464355469,4506.55047455399,2857.07553856166,543.852210730888,28,1.0,0.0,0.0
7600110000000020100204,0.0,0.0,0.0,0.0,0.0,1.4734774827957153,24.0,4006.656005859375,4636.44567099097,2739.36304579395,599.640857854921,28,0.0,0.0,1.0
7600110000000020100206,0.0,0.0,0.0,0.0,0.0,7.462686538696289,14.0,2781.754638671875,4683.26689448244,2730.60604107999,566.686156015861,28,1.0,0.0,0.0
7600110000000020100208,0.0,0.0,0.0,0.0,0.0,5.0,24.0,5001.09814453125,4716.72648040624,2671.53399812342,637.187633399979,28,1.0,0.0,0.0
7600110000000020100209,0.0,2.0,0.0,0.0,2.0,1.8518518209457397,21.0,4803.80126953125,4673.40455885349,2676.12644281375,678.981939943273,28,0.0,0.0,1.0
7600110000000020100210,0.0,2.0,0.0,0.0,2.0,12.820512771606445,13.0,1682.085693359375,4752.98515446764,2593.89512245745,742.568332414524,28,0.0,1.0,0.0
7600110000000020100211,0.0,0.0,1.0,0.0,1.0,1.2765957117080688,51.0,5994.89794921875,4808.69629676281,2572.39211140464,724.967342559555,28,0.0,0.0,1.0
7600110000000020100212,0.0,0.0,0.0,0.0,0.0,2.6086957454681396,17.0,1647.90869140625,4773.60259972207,2612.84704461257,686.641293850703,28,1.0,0.0,0.0
7600110000000020100213,0.0,0.0,0.0,0.0,0.0,1.8181817531585693,21.0,2437.749755859375,4769.83984883521,2638.37951578878,648.334422701537,28,0.0,0.0,1.0
7600110000000020100214,0.0,0.0,0.0,0.0,0.0,1.6375545263290405,21.0,3136.680908203125,4828.2090002411,2585.39907061708,691.590646632992,28,0.0,0.0,1.0
